#,Visible?,Starred?,Identified Proteins (1591),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,5848 - #1 - Exp,5848 - #2 - Exp,5848 - #3 - Exp,5848 - #4 - Exp
267,TRUE,Empty,Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,sp|P55265|DSRAD_HUMAN,,136 kDa,TRUE,unknown,22,0,12,5
323,TRUE,Empty,Histone deacetylase 2 OS=Homo sapiens OX=9606 GN=HDAC2 PE=1 SV=2,sp|Q92769|HDAC2_HUMAN,,55 kDa,TRUE,unknown,22,10,1,3
33,TRUE,Empty,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,sp|P08670|VIME_HUMAN,,54 kDa,TRUE,unknown,21,11,74,151
79,TRUE,Empty,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1,sp|P17844|DDX5_HUMAN,,69 kDa,TRUE,unknown,21,3,44,59
80,TRUE,Empty,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2,sp|Q6P2Q9|PRP8_HUMAN,,274 kDa,TRUE,unknown,21,1,55,40
130,TRUE,Empty,Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2,sp|P62805|H4_HUMAN,,11 kDa,,unknown,21,21,13,29
199,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=1,tr|D6R9P3|D6R9P3_HUMAN (+2),,30 kDa,TRUE,unknown,21,10,3,15
254,TRUE,Empty,Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2,sp|Q9NZB2|F120A_HUMAN,,122 kDa,,unknown,21,20,0,3
288,TRUE,Empty,Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3,sp|P07237|PDIA1_HUMAN,,57 kDa,,unknown,21,18,0,1
329,TRUE,Empty,Girdin OS=Homo sapiens OX=9606 GN=CCDC88A PE=1 SV=2,sp|Q3V6T2|GRDN_HUMAN,,216 kDa,TRUE,unknown,21,12,0,0
143,TRUE,Empty,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,sp|P06748|NPM_HUMAN,,33 kDa,,unknown,20,7,16,33
162,TRUE,Empty,Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1,sp|Q9ULV4|COR1C_HUMAN,,53 kDa,TRUE,unknown,20,50,1,0
227,TRUE,Empty,Transforming acidic coiled-coil-containing protein 3 OS=Homo sapiens OX=9606 GN=TACC3 PE=1 SV=1,sp|Q9Y6A5|TACC3_HUMAN,,90 kDa,,unknown,20,29,0,0
543,TRUE,Empty,Lethal(3)malignant brain tumor-like protein 2 OS=Homo sapiens OX=9606 GN=L3MBTL2 PE=1 SV=1,sp|Q969R5|LMBL2_HUMAN,,79 kDa,TRUE,unknown,20,0,0,0
97,TRUE,Empty,Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4,sp|Q15233|NONO_HUMAN,,54 kDa,TRUE,unknown,19,1,38,37
129,TRUE,Empty,"40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2",sp|P62701|RS4X_HUMAN,,30 kDa,TRUE,unknown,19,31,7,22
176,TRUE,Empty,Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1,sp|P0DMV8|HS71A_HUMAN (+2),,70 kDa,TRUE,unknown,19,13,4,1
226,TRUE,Empty,40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2,sp|P39019|RS19_HUMAN,,16 kDa,,unknown,19,19,0,11
261,TRUE,Empty,Alpha-centractin OS=Homo sapiens OX=9606 GN=ACTR1A PE=1 SV=1,sp|P61163|ACTZ_HUMAN,,43 kDa,TRUE,unknown,19,24,0,0
271,TRUE,Empty,THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3,sp|Q86V81|THOC4_HUMAN,,27 kDa,,unknown,19,4,4,11
316,TRUE,Empty,Condensin complex subunit 1 OS=Homo sapiens OX=9606 GN=NCAPD2 PE=1 SV=3,sp|Q15021|CND1_HUMAN,,157 kDa,TRUE,unknown,19,15,0,3
335,TRUE,Empty,Guanine nucleotide exchange factor H1 OS=Homo sapiens OX=9606 GN=ARHGEF2 PE=1 SV=1,tr|A0A5F9ZI21|A0A5F9ZI21_HUMAN,,127 kDa,,unknown,19,2,0,10
433,TRUE,Empty,DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1,sp|Q92878|RAD50_HUMAN,,154 kDa,,unknown,19,0,0,1
459,TRUE,Empty,Serine/threonine-protein kinase mTOR OS=Homo sapiens OX=9606 GN=MTOR PE=1 SV=1,sp|P42345|MTOR_HUMAN,,289 kDa,,unknown,19,2,0,0
94,TRUE,Empty,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,sp|P13639|EF2_HUMAN,,95 kDa,TRUE,unknown,18,62,4,17
126,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2,sp|P14866|HNRPL_HUMAN,,64 kDa,TRUE,unknown,18,7,36,25
139,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1,sp|Q99613|EIF3C_HUMAN,,105 kDa,,unknown,18,53,2,8
166,TRUE,Empty,40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,sp|P23396|RS3_HUMAN,,27 kDa,TRUE,unknown,18,30,4,16
228,TRUE,Empty,Mesoderm-specific transcript homolog protein OS=Homo sapiens OX=9606 GN=MEST PE=1 SV=2,sp|Q5EB52|MEST_HUMAN,,39 kDa,,unknown,18,10,5,18
256,TRUE,Empty,Coatomer subunit gamma-1 OS=Homo sapiens OX=9606 GN=COPG1 PE=1 SV=1,sp|Q9Y678|COPG1_HUMAN,,98 kDa,TRUE,unknown,18,16,0,3
311,TRUE,Empty,DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2,sp|P31689|DNJA1_HUMAN,,45 kDa,,unknown,18,14,2,2
342,TRUE,Empty,DBIRD complex subunit ZNF326 OS=Homo sapiens OX=9606 GN=ZNF326 PE=1 SV=2,sp|Q5BKZ1|ZN326_HUMAN,,66 kDa,,unknown,18,0,6,8
414,TRUE,Empty,A-kinase anchor protein 8-like OS=Homo sapiens OX=9606 GN=AKAP8L PE=1 SV=4,sp|Q9ULX6|AKP8L_HUMAN,,72 kDa,,unknown,18,0,2,4
493,TRUE,Empty,Actin-like protein 6A OS=Homo sapiens OX=9606 GN=ACTL6A PE=1 SV=1,sp|O96019|ACL6A_HUMAN,,47 kDa,,unknown,18,4,0,0
506,TRUE,Empty,Protein furry homolog-like OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=2,sp|O94915|FRYL_HUMAN,,340 kDa,TRUE,unknown,18,4,0,0
525,TRUE,Empty,DNA-binding protein SATB2 OS=Homo sapiens OX=9606 GN=SATB2 PE=1 SV=2,sp|Q9UPW6|SATB2_HUMAN (+1),,83 kDa,TRUE,unknown,18,0,0,0
229,TRUE,Empty,ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2,sp|Q92499|DDX1_HUMAN,,82 kDa,,unknown,17,16,5,4
236,TRUE,Empty,Importin subunit alpha-1 OS=Homo sapiens OX=9606 GN=KPNA2 PE=1 SV=1,sp|P52292|IMA1_HUMAN,,58 kDa,TRUE,unknown,17,14,7,10
248,TRUE,Empty,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 OS=Homo sapiens OX=9606 GN=PLOD1 PE=1 SV=2",sp|Q02809|PLOD1_HUMAN,,84 kDa,TRUE,unknown,17,9,4,14
255,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens OX=9606 GN=HNRNPA0 PE=1 SV=1,sp|Q13151|ROA0_HUMAN,,31 kDa,,unknown,17,9,6,12
264,TRUE,Empty,Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2,sp|Q15365|PCBP1_HUMAN,,37 kDa,TRUE,unknown,17,11,7,8
363,TRUE,Empty,"Dynein light chain 1, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL1 PE=1 SV=1",sp|P63167|DYL1_HUMAN,,10 kDa,TRUE,unknown,17,9,0,3
382,TRUE,Empty,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4",sp|Q9UPN3|MACF1_HUMAN,,838 kDa,TRUE,unknown,17,4,0,1
402,TRUE,Empty,Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens OX=9606 GN=CHERP PE=1 SV=3,sp|Q8IWX8|CHERP_HUMAN,,104 kDa,,unknown,17,0,5,2
450,TRUE,Empty,Protein prune homolog 2 OS=Homo sapiens OX=9606 GN=PRUNE2 PE=1 SV=1,tr|A0A088AWP5|A0A088AWP5_HUMAN,,338 kDa,,unknown,17,4,0,0
479,TRUE,Empty,Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens OX=9606 GN=TIMM50 PE=1 SV=2,sp|Q3ZCQ8|TIM50_HUMAN,,40 kDa,,unknown,17,3,0,2
56,TRUE,Empty,"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",sp|P02533|K1C14_HUMAN,,52 kDa,TRUE,unknown,16,48,1,22
200,TRUE,Empty,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,sp|P04406|G3P_HUMAN,,36 kDa,,unknown,16,23,1,13
215,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1,sp|P60228|EIF3E_HUMAN,,52 kDa,TRUE,unknown,16,33,1,3
324,TRUE,Empty,Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=1,tr|E9PRY8|E9PRY8_HUMAN,,77 kDa,TRUE,unknown,16,20,0,1
395,TRUE,Empty,Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=4,sp|P26640|SYVC_HUMAN,,140 kDa,,unknown,16,11,0,0
438,TRUE,Empty,Highly divergent homeobox OS=Homo sapiens OX=9606 GN=HDX PE=1 SV=1,sp|Q7Z353|HDX_HUMAN,,77 kDa,,unknown,16,8,0,0
499,TRUE,Empty,Metastasis-associated protein MTA1 OS=Homo sapiens OX=9606 GN=MTA1 PE=1 SV=2,sp|Q13330|MTA1_HUMAN (+1),,81 kDa,TRUE,unknown,16,0,3,2
625,TRUE,Empty,Zinc finger and BTB domain-containing protein 24 OS=Homo sapiens OX=9606 GN=ZBTB24 PE=1 SV=2,sp|O43167|ZBT24_HUMAN,,78 kDa,,unknown,16,0,0,0
19,TRUE,Empty,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,sp|P68371|TBB4B_HUMAN,,50 kDa,TRUE,unknown,15,16,3,10
107,TRUE,Empty,Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3,sp|O43795|MYO1B_HUMAN (+1),,132 kDa,TRUE,unknown,15,42,7,32
119,TRUE,Empty,Nestin OS=Homo sapiens OX=9606 GN=NES PE=1 SV=2,sp|P48681|NEST_HUMAN,,177 kDa,,unknown,15,12,24,35
161,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3,sp|P55884|EIF3B_HUMAN,,92 kDa,,unknown,15,50,0,2
249,TRUE,Empty,Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=1,tr|A0A0A0MTS7|A0A0A0MTS7_HUMAN,,3994 kDa,TRUE,unknown,15,10,2,0
266,TRUE,Empty,Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3,sp|P63244|RACK1_HUMAN,,35 kDa,TRUE,unknown,15,22,1,5
326,TRUE,Empty,Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=4,sp|Q13561|DCTN2_HUMAN,,44 kDa,,unknown,15,19,0,0
377,TRUE,Empty,Cold-inducible RNA-binding protein OS=Homo sapiens OX=9606 GN=CIRBP PE=1 SV=1,sp|Q14011|CIRBP_HUMAN,,19 kDa,TRUE,unknown,15,15,0,1
440,TRUE,Empty,Splicing factor U2AF 65 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=4,sp|P26368|U2AF2_HUMAN,,54 kDa,,unknown,15,1,2,5
542,TRUE,Empty,Condensin-2 complex subunit G2 OS=Homo sapiens OX=9606 GN=NCAPG2 PE=1 SV=1,sp|Q86XI2|CNDG2_HUMAN,,131 kDa,,unknown,15,0,0,4
557,TRUE,Empty,ATP-dependent DNA/RNA helicase DHX36 OS=Homo sapiens OX=9606 GN=DHX36 PE=1 SV=2,sp|Q9H2U1|DHX36_HUMAN,,115 kDa,,unknown,15,2,0,0
99,TRUE,Empty,Actin-depolymerizing factor OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1,tr|A0A0A0MT01|A0A0A0MT01_HUMAN,,85 kDa,TRUE,unknown,14,83,3,3
138,TRUE,Empty,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",sp|P23246|SFPQ_HUMAN,,76 kDa,TRUE,unknown,14,2,33,29
163,TRUE,Empty,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ACAP2 PE=1 SV=3",sp|Q15057|ACAP2_HUMAN,,88 kDa,TRUE,unknown,14,55,0,0
203,TRUE,Empty,40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2,sp|P15880|RS2_HUMAN,,31 kDa,,unknown,14,22,5,14
231,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1,tr|B0QY89|B0QY89_HUMAN,,71 kDa,,unknown,14,35,0,1
251,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,sp|P31942|HNRH3_HUMAN,,37 kDa,TRUE,unknown,14,6,7,13
338,TRUE,Empty,Coatomer subunit beta' OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2,sp|P35606|COPB2_HUMAN,,102 kDa,,unknown,14,20,0,0
343,TRUE,Empty,Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1,sp|Q15084|PDIA6_HUMAN,,48 kDa,,unknown,14,18,0,2
357,TRUE,Empty,Transcription initiation factor TFIID subunit 4 OS=Homo sapiens OX=9606 GN=TAF4 PE=1 SV=2,sp|O00268|TAF4_HUMAN,,110 kDa,TRUE,unknown,14,17,0,0
415,TRUE,Empty,Fanconi anemia group I protein OS=Homo sapiens OX=9606 GN=FANCI PE=1 SV=1,tr|A0A6Q8PH09|A0A6Q8PH09_HUMAN,,154 kDa,,unknown,14,9,0,1
424,TRUE,Empty,Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens OX=9606 GN=P4HA2 PE=1 SV=1,sp|O15460|P4HA2_HUMAN,,61 kDa,,unknown,14,11,0,1
430,TRUE,Empty,Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2,sp|P04792|HSPB1_HUMAN,,23 kDa,,unknown,14,9,0,2
481,TRUE,Empty,Protein LSM14 homolog A OS=Homo sapiens OX=9606 GN=LSM14A PE=1 SV=3,sp|Q8ND56|LS14A_HUMAN,,51 kDa,TRUE,unknown,14,8,0,0
540,TRUE,Empty,"Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD1 PE=1 SV=2",sp|P00367|DHE3_HUMAN,,61 kDa,,unknown,14,0,0,5
570,TRUE,Empty,E3 ubiquitin-protein ligase listerin OS=Homo sapiens OX=9606 GN=LTN1 PE=1 SV=6,sp|O94822|LTN1_HUMAN,,201 kDa,,unknown,14,2,0,0
576,TRUE,Empty,"Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3",sp|P40926|MDHM_HUMAN,,36 kDa,,unknown,14,2,0,0
596,TRUE,Empty,Lysine-specific histone demethylase 1A OS=Homo sapiens OX=9606 GN=KDM1A PE=1 SV=2,sp|O60341|KDM1A_HUMAN (+1),,93 kDa,,unknown,14,0,3,0
598,TRUE,Empty,CLIP-associating protein 2 OS=Homo sapiens OX=9606 GN=CLASP2 PE=1 SV=1,tr|E7EW49|E7EW49_HUMAN,,166 kDa,TRUE,unknown,14,0,0,0
688,TRUE,Empty,General transcription factor 3C polypeptide 3 OS=Homo sapiens OX=9606 GN=GTF3C3 PE=1 SV=1,sp|Q9Y5Q9|TF3C3_HUMAN,,101 kDa,,unknown,14,0,0,0
690,TRUE,Empty,Polycomb group RING finger protein 6 OS=Homo sapiens OX=9606 GN=PCGF6 PE=1 SV=2,sp|Q9BYE7|PCGF6_HUMAN,,39 kDa,,unknown,14,0,0,0
102,TRUE,Empty,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,sp|P14625|ENPL_HUMAN,,92 kDa,TRUE,unknown,13,73,0,3
111,TRUE,Empty,Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2,sp|Q9UQE7|SMC3_HUMAN,,142 kDa,,unknown,13,4,27,46
134,TRUE,Empty,sp|ALBU_BOVIN|,sp|ALBU_BOVIN|,,69 kDa,TRUE,unknown,13,12,31,22
149,TRUE,Empty,40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2,sp|P61247|RS3A_HUMAN,,30 kDa,,unknown,13,32,10,20
151,TRUE,Empty,Peroxisomal acyl-coenzyme A oxidase 1 OS=Homo sapiens OX=9606 GN=ACOX1 PE=1 SV=3,sp|Q15067|ACOX1_HUMAN,,74 kDa,,unknown,13,66,0,0
196,TRUE,Empty,ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2,sp|O00148|DX39A_HUMAN,,49 kDa,TRUE,unknown,13,10,18,16
201,TRUE,Empty,Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4,sp|P16989|YBOX3_HUMAN,,40 kDa,TRUE,unknown,13,9,0,0
205,TRUE,Empty,RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,tr|H3BPE7|H3BPE7_HUMAN,,53 kDa,TRUE,unknown,13,9,18,8
252,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3,sp|O14979|HNRDL_HUMAN (+1),,46 kDa,TRUE,unknown,13,4,2,13
280,TRUE,Empty,40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,sp|P08865|RSSA_HUMAN (+2),,33 kDa,,unknown,13,23,0,5
318,TRUE,Empty,"Complex I assembly factor ACAD9, mitochondrial OS=Homo sapiens OX=9606 GN=ACAD9 PE=1 SV=1",sp|Q9H845|ACAD9_HUMAN,,69 kDa,,unknown,13,24,0,0
355,TRUE,Empty,Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=1,tr|E7EX90|E7EX90_HUMAN,,139 kDa,,unknown,13,16,0,0
358,TRUE,Empty,Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1LI2 PE=1 SV=1,sp|O43237|DC1L2_HUMAN,,54 kDa,TRUE,unknown,13,18,0,0
378,TRUE,Empty,Sarcalumenin OS=Homo sapiens OX=9606 GN=SRL PE=1 SV=3,sp|Q86TD4|SRCA_HUMAN,,54 kDa,,unknown,13,19,0,0
417,TRUE,Empty,Proteasome adapter and scaffold protein ECM29 OS=Homo sapiens OX=9606 GN=ECPAS PE=1 SV=1,tr|J3KN16|J3KN16_HUMAN,,224 kDa,,unknown,13,10,0,0
501,TRUE,Empty,Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=SPATA5 PE=1 SV=1,tr|A0A6Q8PGU6|A0A6Q8PGU6_HUMAN,,100 kDa,TRUE,unknown,13,2,0,2
511,TRUE,Empty,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,sp|P12270|TPR_HUMAN,,267 kDa,TRUE,unknown,13,3,2,1
518,TRUE,Empty,E3 ubiquitin-protein ligase UBR5 OS=Homo sapiens OX=9606 GN=UBR5 PE=1 SV=2,sp|O95071|UBR5_HUMAN,,309 kDa,TRUE,unknown,13,5,0,0
549,TRUE,Empty,sp|CAS1_BOVIN|,sp|CAS1_BOVIN|,,25 kDa,,unknown,13,1,0,3
624,TRUE,Empty,mRNA cap guanine-N7 methyltransferase OS=Homo sapiens OX=9606 GN=RNMT PE=1 SV=1,sp|O43148|MCES_HUMAN,,55 kDa,,unknown,13,0,0,0
627,TRUE,Empty,Gem-associated protein 4 OS=Homo sapiens OX=9606 GN=GEMIN4 PE=1 SV=2,sp|P57678|GEMI4_HUMAN (+1),,120 kDa,,unknown,13,0,0,0
656,TRUE,Empty,"ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=2",sp|P08237|PFKAM_HUMAN (+1),,85 kDa,TRUE,unknown,13,2,0,0
115,TRUE,Empty,Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2,sp|Q14683|SMC1A_HUMAN,,143 kDa,,unknown,12,0,27,45
160,TRUE,Empty,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,sp|P09874|PARP1_HUMAN,,113 kDa,,unknown,12,1,27,29
216,TRUE,Empty,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",sp|P25705|ATPA_HUMAN,,60 kDa,,unknown,12,15,0,21
219,TRUE,Empty,40S ribosomal protein S7 OS=Homo sapiens OX=9606 GN=RPS7 PE=1 SV=1,sp|P62081|RS7_HUMAN,,22 kDa,,unknown,12,19,4,16
224,TRUE,Empty,ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2,sp|Q15717|ELAV1_HUMAN,,36 kDa,TRUE,unknown,12,4,13,22
234,TRUE,Empty,"Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS1 PE=1 SV=2",sp|P56192|SYMC_HUMAN,,101 kDa,,unknown,12,34,0,2
238,TRUE,Empty,Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2,sp|P50454|SERPH_HUMAN,,46 kDa,,unknown,12,27,0,10
250,TRUE,Empty,F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=1,tr|B1AK88|B1AK88_HUMAN,,34 kDa,TRUE,unknown,12,33,0,0
263,TRUE,Empty,40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2,sp|P62277|RS13_HUMAN,,17 kDa,,unknown,12,14,4,12
269,TRUE,Empty,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2,sp|O43242|PSMD3_HUMAN,,61 kDa,,unknown,12,28,0,0
292,TRUE,Empty,"Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3",sp|P55084|ECHB_HUMAN,,51 kDa,,unknown,12,12,1,12
293,TRUE,Empty,40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2,sp|P62249|RS16_HUMAN,,16 kDa,,unknown,12,16,1,4
294,TRUE,Empty,High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3,sp|P09429|HMGB1_HUMAN,,25 kDa,TRUE,unknown,12,11,0,10
334,TRUE,Empty,40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4,sp|P46782|RS5_HUMAN (+1),,23 kDa,,unknown,12,16,0,6
339,TRUE,Empty,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 OS=Homo sapiens OX=9606 GN=TAB1 PE=1 SV=1,sp|Q15750|TAB1_HUMAN,,55 kDa,,unknown,12,20,0,0
365,TRUE,Empty,Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,sp|Q9UHD8|SEPT9_HUMAN,,65 kDa,TRUE,unknown,12,11,0,3
390,TRUE,Empty,Histone-binding protein RBBP4 OS=Homo sapiens OX=9606 GN=RBBP4 PE=1 SV=3,sp|Q09028|RBBP4_HUMAN,,48 kDa,TRUE,unknown,12,11,4,3
410,TRUE,Empty,TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1,sp|Q13148|TADBP_HUMAN,,45 kDa,TRUE,unknown,12,1,3,9
416,TRUE,Empty,Transport and Golgi organization protein 1 homolog OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=1,sp|Q5JRA6|TGO1_HUMAN,,214 kDa,,unknown,12,10,0,0
461,TRUE,Empty,"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1",tr|A0A6Q8PG15|A0A6Q8PG15_HUMAN,,67 kDa,,unknown,12,7,0,2
503,TRUE,Empty,Galectin-3-binding protein OS=Homo sapiens OX=9606 GN=LGALS3BP PE=1 SV=1,sp|Q08380|LG3BP_HUMAN,,65 kDa,,unknown,12,6,0,1
504,TRUE,Empty,DnaJ homolog subfamily A member 2 OS=Homo sapiens OX=9606 GN=DNAJA2 PE=1 SV=1,sp|O60884|DNJA2_HUMAN,,46 kDa,TRUE,unknown,12,6,0,0
532,TRUE,Empty,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens OX=9606 GN=CLPX PE=1 SV=2",sp|O76031|CLPX_HUMAN,,69 kDa,,unknown,12,1,0,2
545,TRUE,Empty,Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,sp|Q9BSJ8|ESYT1_HUMAN,,123 kDa,,unknown,12,2,1,4
645,TRUE,Empty,General transcription factor 3C polypeptide 4 OS=Homo sapiens OX=9606 GN=GTF3C4 PE=1 SV=2,sp|Q9UKN8|TF3C4_HUMAN,,92 kDa,,unknown,12,0,0,1
669,TRUE,Empty,Fc receptor-like A OS=Homo sapiens OX=9606 GN=FCRLA PE=1 SV=2,sp|Q7L513|FCRLA_HUMAN,,39 kDa,,unknown,12,1,0,1
10,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=1,tr|A0A1W2PPS1|A0A1W2PPS1_HUMAN,,88 kDa,TRUE,unknown,11,1,0,5
